id;path_with_namespace;web_url;visibility;created_at;last_activity_at;issues_enabled;jobs_enabled;wiki_enabled;merge_requests_enabled;snippets_enabled;container_registry_access_level;shared_runners_enabled;ci_forward_deployment_enabled;request_access_enabled;auto_devops_enabled;auto_devops_deploy_strategy;packages_enabled;service_desk_enabled
11570546;acdh-oeaw/corpus_shell/cr-projects;https://gitlab.com/acdh-oeaw/corpus_shell/cr-projects;private;2019-03-29T13:58:03.323Z;2019-03-29T13:58:03.323Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11570899;acdh-oeaw/mecmua/cr-data-mecmua;https://gitlab.com/acdh-oeaw/mecmua/cr-data-mecmua;private;2019-03-29T14:21:25.105Z;2021-03-02T11:57:58.149Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11570906;acdh-oeaw/mecmua/mecmua-katalon;https://gitlab.com/acdh-oeaw/mecmua/mecmua-katalon;private;2019-03-29T14:22:02.515Z;2019-03-29T14:22:02.515Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11571447;acdh-oeaw/dboe/dboe-xquery-gui;https://gitlab.com/acdh-oeaw/dboe/dboe-xquery-gui;private;2019-03-29T14:55:04.928Z;2020-07-27T08:58:25.376Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11571528;acdh-oeaw/gcma/gcma;https://gitlab.com/acdh-oeaw/gcma/gcma;private;2019-03-29T15:01:17.002Z;2019-03-29T15:01:17.002Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11572219;acdh-oeaw/japan-bibliographie/japbib-katalon;https://gitlab.com/acdh-oeaw/japan-bibliographie/japbib-katalon;private;2019-03-29T15:42:55.492Z;2019-11-14T10:31:33.681Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11572549;acdh-oeaw/vicav/vicav_katalon;https://gitlab.com/acdh-oeaw/vicav/vicav_katalon;private;2019-03-29T16:04:31.302Z;2019-03-29T16:04:31.302Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11572837;acdh-oeaw/photoapp-katalon;https://gitlab.com/acdh-oeaw/photoapp-katalon;private;2019-03-29T16:25:15.637Z;2019-03-29T16:25:15.637Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11573322;acdh-oeaw/tunico/tunico-data;https://gitlab.com/acdh-oeaw/tunico/tunico-data;private;2019-03-29T16:54:51.225Z;2019-03-29T16:54:51.225Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11612320;acdh-oeaw/dha/dha_angular_redesign;https://gitlab.com/acdh-oeaw/dha/dha_angular_redesign;private;2019-04-01T10:28:59.444Z;2020-05-29T15:03:15.715Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11612340;acdh-oeaw/dha/dha_d8_features;https://gitlab.com/acdh-oeaw/dha/dha_d8_features;private;2019-04-01T10:30:10.497Z;2019-04-01T10:30:10.497Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11612594;acdh-oeaw/dboe/dboeannotation;https://gitlab.com/acdh-oeaw/dboe/dboeannotation;private;2019-04-01T10:44:51.691Z;2022-05-05T13:34:14.669Z;True;True;True;True;True;enabled;False;None;False;True;continuous;True;True
11614257;acdh-oeaw/traveldigital/traveldigital-katalon;https://gitlab.com/acdh-oeaw/traveldigital/traveldigital-katalon;private;2019-04-01T12:21:41.648Z;2019-04-01T12:21:41.648Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11614532;acdh-oeaw/acdh-vocabularies/vocabs-visualize;https://gitlab.com/acdh-oeaw/acdh-vocabularies/vocabs-visualize;private;2019-04-01T12:34:00.356Z;2019-04-01T12:34:00.356Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11616380;acdh-oeaw/dha/migrate_dha_d7;https://gitlab.com/acdh-oeaw/dha/migrate_dha_d7;private;2019-04-01T13:57:33.369Z;2020-07-01T12:31:10.029Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11616393;acdh-oeaw/dha/dha_services;https://gitlab.com/acdh-oeaw/dha/dha_services;private;2019-04-01T13:58:18.385Z;2019-04-01T13:58:18.385Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
11616536;acdh-oeaw/vue-fundament;https://gitlab.com/acdh-oeaw/vue-fundament;private;2019-04-01T14:06:23.501Z;2019-04-01T14:06:23.501Z;True;True;True;True;True;enabled;False;None;False;False;continuous;True;True
