,URI,cnt,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#subClassOf,Examples (base URI),http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2002/07/owl#equivalentClass,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.openlinksw.com/schemas/virtrdf#isGcResistantType
27,http://www.openlinksw.com/schemas/oplweb#Vendors,0,http://www.w3.org/2000/01/rdf-schema#Class,vendors,http://www.openlinksw.com/schemas/oplweb#VendorCategory,,"
			Vendors
		",,,,
28,http://www.openlinksw.com/schemas/oplweb#OpsysFamily,0,http://www.w3.org/2000/01/rdf-schema#Class,OS Family,,,"
			Operating System Family
		",,,,
29,http://www.openlinksw.com/schemas/oplweb#DbmsFamily,0,http://www.w3.org/2000/01/rdf-schema#Class,DBMS Family,,,"
			Database Management System Family
		",,,,
30,http://www.openlinksw.com/schemas/oplweb#OpsysType,0,http://www.w3.org/2000/01/rdf-schema#Class,OS Type,,,"
			Operating System Type
		",,,,
31,http://www.openlinksw.com/schemas/oplweb#ProcessorMode,0,http://www.w3.org/2000/01/rdf-schema#Class,Processor Mode,,,"
			Processor Mode
		",,,,
32,http://www.openlinksw.com/schemas/oplweb#Processor,0,http://www.w3.org/2000/01/rdf-schema#Class,Processor,http://www.openlinksw.com/schemas/oplweb#ProcessorFamily,,"
			Processor
		",,,,
33,http://www.openlinksw.com/schemas/oplweb#ProcessorFamily,0,http://www.w3.org/2000/01/rdf-schema#Class,Processor Family,,,"
			Processor Family
		",,,,
34,http://www.openlinksw.com/schemas/oplweb#ProductRelease,0,http://www.w3.org/2000/01/rdf-schema#Class,Product Release,"['http://www.openlinksw.com/schemas/oplweb#Product', 'http://purl.org/goodrelations/v1#ProductOrServiceModel']",,"
			Product Release
		",,,,
35,http://www.openlinksw.com/schemas/oplweb#Component,0,http://www.w3.org/2000/01/rdf-schema#Class,Components,,,"
			Components
		",,,,
36,http://www.openlinksw.com/schemas/oplweb#ComponentMode,0,http://www.w3.org/2000/01/rdf-schema#Class,Component Mode,,,"
			Component
		",,,,
37,http://www.openlinksw.com/schemas/oplweb#ComponentType,0,http://www.w3.org/2000/01/rdf-schema#Class,Component,,,"
			Component Type
		",,,,
38,http://www.openlinksw.com/schemas/oplweb#ComponentCategory,0,http://www.w3.org/2000/01/rdf-schema#Class,Component Category,,,"
			Component
		",,,,
39,http://www.openlinksw.com/schemas/oplweb#ComponentArchiveType,0,http://www.w3.org/2000/01/rdf-schema#Class,Component Archive Type,,,"
			Component Archives Type
		",,,,
40,http://www.openlinksw.com/schemas/oplweb#PriceUnitIncrementalDiscount,0,http://www.w3.org/2000/01/rdf-schema#Class,Unit Incremental Discount,http://purl.org/goodrelations/v1#QuantativeValueInteger,,"
			Unit Incremental Discount
		",,,,
41,http://www.openlinksw.com/schemas/oplweb#DownloadProtocol,0,http://www.w3.org/2000/01/rdf-schema#Class,Download Protocol,,,"
			Download Protocol
		",,,,
42,http://www.openlinksw.com/schemas/oplweb#DownloadPartner,0,http://www.w3.org/2000/01/rdf-schema#Class,Download Partner,,,"
			Download Partner
		",,,,
43,http://www.openlinksw.com/schemas/oplweb#ProductBenefit,0,http://www.w3.org/2000/01/rdf-schema#Class,Product Benefit,http://www.openlinksw.com/schemas/oplweb#ProductBenefitCategory,,"
			Product Benefit
		",,,,
44,http://www.openlinksw.com/schemas/oplweb#ProductBenefitCategory,0,http://www.w3.org/2000/01/rdf-schema#Class,Product Benefit,,,"
			Product Benefit
		",,,,
45,http://www.openlinksw.com/schemas/oplweb#ProductFeatureCategory,0,http://www.w3.org/2000/01/rdf-schema#Class,Product Feature Category,,,"
			Product Feature Category
		",,,,
46,http://www.openlinksw.com/schemas/oplweb#ProductFeature,0,http://www.w3.org/2000/01/rdf-schema#Class,Product Features,"['http://www.openlinksw.com/schemas/oplweb#Product', 'http://www.openlinksw.com/schemas/oplweb#ProductBenefit', 'http://www.openlinksw.com/schemas/oplweb#ProductFeatureCategory']",,"
			Product Features
		",,,,
47,http://www.openlinksw.com/schemas/oplweb#ProductFamilyFeature,0,http://www.w3.org/2000/01/rdf-schema#Class,Product Family Features,"['http://www.openlinksw.com/schemas/oplweb#ProductFamily', 'http://www.openlinksw.com/schemas/oplweb#ProductBenefit', 'http://www.openlinksw.com/schemas/oplweb#ProductFeatureCategory']",,"
			Product Family Features
		",,,,
48,http://www.openlinksw.com/schemas/oplweb#ProductFormatFeature,0,http://www.w3.org/2000/01/rdf-schema#Class,Product Format Features,"['http://www.openlinksw.com/schemas/oplweb#ProductFormat', 'http://www.openlinksw.com/schemas/oplweb#ProductBenefit', 'http://www.openlinksw.com/schemas/oplweb#ProductFeatureCategory']",,"
			Product Format Features
		",,,,
49,http://www.openlinksw.com/schemas/oplweb#ProductCategoryFeature,0,http://www.w3.org/2000/01/rdf-schema#Class,Product Category Features,"['http://www.openlinksw.com/schemas/oplweb#ProductCategory', 'http://www.openlinksw.com/schemas/oplweb#ProductBenefit', 'http://www.openlinksw.com/schemas/oplweb#ProductFeatureCategory']",,"
			Product Category Features
		",,,,
50,http://www.openlinksw.com/schemas/oplweb#ProductReleaseFeature,0,http://www.w3.org/2000/01/rdf-schema#Class,Product Benefit,"['http://www.openlinksw.com/schemas/oplweb#ProductRelease', 'http://www.openlinksw.com/schemas/oplweb#ProductBenefit', 'http://www.openlinksw.com/schemas/oplweb#ProductFeatureCategory']",,"
			Product Benefit
		",,,,
51,http://www.openlinksw.com/schemas/oplweb#LicenseType,0,http://www.w3.org/2000/01/rdf-schema#Class,License Type,,,"
			License Type
		",,,,
52,http://www.openlinksw.com/schemas/oplweb#PriceType,0,http://www.w3.org/2000/01/rdf-schema#Class,Price Type,http://purl.org/goodrelations/v1#typeOfGood,,"
			Price Type
		",,,,
53,http://www.openlinksw.com/schemas/oplweb#GeneralDiscount,0,http://www.w3.org/2000/01/rdf-schema#Class,General Discount,,,"
			General Discount
		",,,,
54,http://www.openlinksw.com/schemas/oplweb#IncrementalDiscount,0,http://www.w3.org/2000/01/rdf-schema#Class,Incremental Discount,,,"
			Incremental Discount
		",,,,
55,http://www.openlinksw.com/schemas/oplweb#LicenseModel,0,http://www.w3.org/2000/01/rdf-schema#Class,License,http://purl.org/goodrelations/v1#Offering,,"
			License
		",,,,
