,URI,cnt,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/2000/01/rdf-schema#range,Domain,Literal?,Range,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#type,http://www.w3.org/2000/01/rdf-schema#isDescribedUsing,http://www.w3.org/2002/07/owl#inverseOf,http://www.w3.org/2002/07/owl#equivalentProperty,http://www.openlinksw.com/schemas/virtrdf#loadAs,http://www.openlinksw.com/schemas/virtrdf#item,http://www.w3.org/2000/01/rdf-schema#subClassOf
52,http://www.openlinksw.com/schemas/oplweb#DbmsDownwardCompatible,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DBMS Downward Compatible,http://www.openlinksw.com/schemas/oplweb#DbmsEngine,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
53,http://www.openlinksw.com/schemas/oplweb#OpsysTypeDescription,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Opsys Type Description,http://www.openlinksw.com/schemas/oplweb#OpsysType,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
54,http://www.openlinksw.com/schemas/oplweb#OpsysTypeShortDescription,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Opsys Type Short Description,http://www.openlinksw.com/schemas/oplweb#OpsysType,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
55,http://www.openlinksw.com/schemas/oplweb#OpsysName,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://xmlns.com/foaf/0.1/name,Opsys Name,http://www.openlinksw.com/schemas/oplweb#Opsys,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
56,http://www.openlinksw.com/schemas/oplweb#OpsysVersion,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Opsys Version,http://www.openlinksw.com/schemas/oplweb#Opsys,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
57,http://www.openlinksw.com/schemas/oplweb#OpsysUpwardCompatible,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Opsys Compatible,http://www.openlinksw.com/schemas/oplweb#Opsys,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
58,http://www.openlinksw.com/schemas/oplweb#OpsysDownwardCompatible,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Opsys Downward Compatible,http://www.openlinksw.com/schemas/oplweb#Opsys,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
59,http://www.openlinksw.com/schemas/oplweb#OpsysLicenseCode,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Opsys License Code,http://www.openlinksw.com/schemas/oplweb#Opsys,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
60,http://www.openlinksw.com/schemas/oplweb#OpsysCommercialName,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://xmlns.com/foaf/0.1/name,Opsys Commercial Name,http://www.openlinksw.com/schemas/oplweb#Opsys,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
61,http://www.openlinksw.com/schemas/oplweb#OpsysProcessor,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Opsys Processor,http://www.openlinksw.com/schemas/oplweb#Opsys,http://www.openlinksw.com/schemas/oplweb#Processor,,False,,,,,,,,,,
62,http://www.openlinksw.com/schemas/oplweb#OpsysEmulationMode,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Opsys Emulation Mode,http://www.openlinksw.com/schemas/oplweb#Opsys,http://www.openlinksw.com/schemas/oplweb#ProcessorMode,,False,,,,,,,,,,
63,http://www.openlinksw.com/schemas/oplweb#ProcessorModeName,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Processor Mode Name,http://www.openlinksw.com/schemas/oplweb#ProcessorMode,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
64,http://www.openlinksw.com/schemas/oplweb#ProcessorName,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://xmlns.com/foaf/0.1/name,Processor Name,http://www.openlinksw.com/schemas/oplweb#Processor,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
65,http://www.openlinksw.com/schemas/oplweb#ProcessorProcessorMode,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Processor Mode,http://www.openlinksw.com/schemas/oplweb#Processor,http://www.openlinksw.com/schemas/oplweb#ProcessorMode,,False,,,,,,,,,,
66,http://www.openlinksw.com/schemas/oplweb#ProcessorDescription,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Processor Description,http://www.openlinksw.com/schemas/oplweb#Processor,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
67,http://www.openlinksw.com/schemas/oplweb#ProcessorFamilyName,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://xmlns.com/foaf/0.1/name,Processor Family Name,http://www.openlinksw.com/schemas/oplweb#ProcessorFamily,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
68,http://www.openlinksw.com/schemas/oplweb#ProcessorFamilyDescription,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Processor Family Description,http://www.openlinksw.com/schemas/oplweb#ProcessorFamily,http://www.w3.org/2001/XMLSchema#string,,False,,,,,,,,,,
69,http://www.openlinksw.com/schemas/oplweb#ProcessorFamilyVendor,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Processor Family Vendor,http://www.openlinksw.com/schemas/oplweb#ProcessorFamily,http://www.openlinksw.com/schemas/oplweb#Vendors,,False,,,,,,,,,,
70,http://www.openlinksw.com/schemas/oplweb#isOfOpsysFamily,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Property which is a member of Operating System Family,http://www.openlinksw.com/schemas/oplweb#Opsys,http://www.openlinksw.com/schemas/oplweb#OpsysFamily,,False,,,,,,,,,,
71,http://www.openlinksw.com/schemas/oplweb#OperatingSystemsFamilies,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Property which is a member of Operating System Family,http://www.openlinksw.com/schemas/oplweb#ProductFamily,http://www.openlinksw.com/schemas/oplweb#OpsysFamily,,False,,,,,,,,,,
72,http://www.openlinksw.com/schemas/oplweb#isOfOpsysType,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Property which is a member of Operating System Family,http://www.openlinksw.com/schemas/oplweb#Opsys,http://www.openlinksw.com/schemas/oplweb#Opsys,,False,,,,,,,,,,
73,http://www.openlinksw.com/schemas/oplweb#DatabaseFamiles,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Property which is a member of DBMS Family,http://www.openlinksw.com/schemas/oplweb#ProductFamily,http://www.openlinksw.com/schemas/oplweb#DbmsFamily,,False,,,,,,,,,,
74,http://www.openlinksw.com/schemas/oplweb#ProcessorFamilies,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Property which is a member of Processor Family,http://www.openlinksw.com/schemas/oplweb#ProductFamily,http://www.openlinksw.com/schemas/oplweb#ProcessorFamily,,False,,,,,,,,,,
75,http://www.openlinksw.com/schemas/oplweb#Processors,0,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,has Processors,"['http://www.openlinksw.com/schemas/oplweb#ProductCategory', 'http://www.openlinksw.com/schemas/oplweb#ProductFormat']",http://www.openlinksw.com/schemas/oplweb#Processor,,False,,,,,,,,,,
